,difference,num_features,aw,bw,ab,bb,cm,epsilon,samples,simulations
0,-0.24461157663682215,19.0,3.0,2.0,5.0,1.0,4.0,1.0,1000.0,1000.0
1,1.585539664528304,7.0,8.0,4.0,3.0,8.0,1.0,3.0,1000.0,1000.0
2,0.932311941827575,18.0,8.0,3.0,4.0,9.0,1.0,2.0,1000.0,1000.0
3,0.0495780596913533,16.0,8.0,8.0,8.0,8.0,3.0,2.0,1000.0,1000.0
4,0.4020225656011313,15.0,6.0,6.0,9.0,2.0,1.0,2.0,1000.0,1000.0
5,-0.1677781983530334,8.0,9.0,1.0,9.0,9.0,3.0,1.0,1000.0,1000.0
6,2.2935928607211165,13.0,9.0,8.0,1.0,8.0,3.0,1.0,1000.0,1000.0
7,0.9123795562615604,14.0,2.0,5.0,1.0,5.0,1.0,1.0,1000.0,1000.0
8,-1.5241210825822313,5.0,9.0,8.0,3.0,6.0,3.0,3.0,1000.0,1000.0
9,0.6349377196026678,12.0,4.0,6.0,4.0,7.0,1.0,2.0,1000.0,1000.0
10,-0.35371815573881543,15.0,2.0,1.0,4.0,6.0,3.0,1.0,1000.0,1000.0
11,-0.3191182645585809,11.0,9.0,1.0,3.0,2.0,3.0,3.0,1000.0,1000.0
12,-0.40195512916652565,9.0,6.0,6.0,3.0,5.0,3.0,1.0,1000.0,1000.0
13,0.13570035641948955,13.0,3.0,8.0,8.0,9.0,2.0,2.0,1000.0,1000.0
14,0.9287973246908114,16.0,3.0,3.0,5.0,6.0,3.0,3.0,1000.0,1000.0
15,-2.0861803119072264,10.0,8.0,7.0,8.0,4.0,3.0,3.0,1000.0,1000.0
16,-0.7851825529811034,6.0,1.0,8.0,5.0,3.0,3.0,2.0,1000.0,1000.0
17,-2.4293465625261814,13.0,3.0,7.0,6.0,4.0,4.0,3.0,1000.0,1000.0
18,-0.1740663940950794,16.0,2.0,1.0,5.0,4.0,3.0,2.0,1000.0,1000.0
19,0.4157119612895401,5.0,9.0,1.0,4.0,5.0,1.0,3.0,1000.0,1000.0
20,0.5647349428347779,15.0,3.0,8.0,3.0,8.0,2.0,3.0,1000.0,1000.0
21,1.5311974527513854,9.0,6.0,1.0,4.0,7.0,2.0,3.0,1000.0,1000.0
22,-0.05764821521610195,8.0,8.0,4.0,5.0,2.0,1.0,1.0,1000.0,1000.0
23,0.8367628653358383,17.0,2.0,7.0,2.0,9.0,3.0,3.0,1000.0,1000.0
24,1.9330957495497776,13.0,4.0,8.0,1.0,5.0,1.0,3.0,1000.0,1000.0
25,-0.3222814216389163,10.0,8.0,2.0,6.0,7.0,3.0,3.0,1000.0,1000.0
26,-0.04543386588680617,14.0,5.0,3.0,8.0,3.0,2.0,2.0,1000.0,1000.0
27,-1.1487447275657507,16.0,2.0,2.0,9.0,1.0,3.0,3.0,1000.0,1000.0
28,-1.460114783784157,7.0,8.0,1.0,7.0,2.0,2.0,2.0,1000.0,1000.0
29,-0.23778310188592885,17.0,2.0,7.0,3.0,8.0,4.0,2.0,1000.0,1000.0
30,0.7874326505164789,19.0,7.0,7.0,2.0,2.0,2.0,1.0,1000.0,1000.0
31,0.7672615759098008,18.0,1.0,8.0,1.0,1.0,4.0,1.0,1000.0,1000.0
32,-0.05744531731264407,8.0,9.0,8.0,2.0,3.0,3.0,1.0,1000.0,1000.0
33,-0.3197284046667132,7.0,8.0,7.0,1.0,3.0,2.0,3.0,1000.0,1000.0
34,-1.952158510093063,13.0,1.0,1.0,4.0,2.0,3.0,3.0,1000.0,1000.0
35,1.9202523013079422,10.0,6.0,1.0,1.0,6.0,2.0,3.0,1000.0,1000.0
36,-0.271711442494627,8.0,3.0,8.0,5.0,3.0,2.0,1.0,1000.0,1000.0
37,0.3255907656012647,8.0,1.0,3.0,2.0,3.0,1.0,3.0,1000.0,1000.0
38,-0.13692764451872746,12.0,5.0,9.0,7.0,9.0,3.0,2.0,1000.0,1000.0
39,0.6892134153848395,12.0,8.0,3.0,3.0,1.0,2.0,3.0,1000.0,1000.0
40,0.034111482698393834,5.0,6.0,8.0,3.0,3.0,1.0,1.0,1000.0,1000.0
41,-1.2697058895323614,15.0,3.0,8.0,7.0,4.0,4.0,2.0,1000.0,1000.0
42,0.9864845363853374,17.0,7.0,3.0,1.0,1.0,3.0,1.0,1000.0,1000.0
43,0.8443781148472937,18.0,6.0,4.0,5.0,7.0,3.0,3.0,1000.0,1000.0
44,1.5674026133339807,19.0,4.0,2.0,1.0,1.0,1.0,1.0,1000.0,1000.0
45,-1.6141116704128937,6.0,5.0,4.0,4.0,6.0,3.0,2.0,1000.0,1000.0
46,-0.41059490600811854,8.0,2.0,8.0,9.0,8.0,4.0,1.0,1000.0,1000.0
47,-0.20385679871722792,14.0,4.0,8.0,6.0,7.0,4.0,1.0,1000.0,1000.0
48,-0.44868251946791265,11.0,5.0,2.0,8.0,4.0,4.0,1.0,1000.0,1000.0
49,0.20501901531889058,12.0,1.0,6.0,3.0,4.0,1.0,2.0,1000.0,1000.0
50,1.035947661972773,16.0,6.0,7.0,1.0,5.0,2.0,1.0,1000.0,1000.0
51,-0.07997641854207878,17.0,7.0,2.0,3.0,1.0,4.0,1.0,1000.0,1000.0
52,0.42484106419806245,14.0,2.0,8.0,3.0,3.0,1.0,3.0,1000.0,1000.0
53,2.297712249250646,15.0,7.0,2.0,2.0,6.0,1.0,3.0,1000.0,1000.0
54,-0.21208334916006633,15.0,5.0,4.0,5.0,8.0,1.0,1.0,1000.0,1000.0
55,0.3773884697852354,19.0,1.0,4.0,2.0,3.0,1.0,3.0,1000.0,1000.0
56,-1.422166810937516,9.0,3.0,4.0,9.0,4.0,2.0,3.0,1000.0,1000.0
57,0.4167720652563258,18.0,9.0,8.0,8.0,9.0,1.0,3.0,1000.0,1000.0
58,-2.162289662872797,6.0,7.0,7.0,6.0,8.0,3.0,3.0,1000.0,1000.0
59,-0.3299006963291871,18.0,8.0,4.0,7.0,6.0,4.0,1.0,1000.0,1000.0
60,-0.24876421811088542,18.0,5.0,1.0,7.0,8.0,2.0,2.0,1000.0,1000.0
61,-2.368163050116783,7.0,7.0,8.0,9.0,6.0,4.0,3.0,1000.0,1000.0
62,-0.5297735321924958,5.0,1.0,6.0,9.0,4.0,3.0,1.0,1000.0,1000.0
63,-0.23107286476031744,16.0,1.0,6.0,7.0,4.0,2.0,1.0,1000.0,1000.0
64,-0.348196337870194,17.0,7.0,6.0,5.0,1.0,3.0,2.0,1000.0,1000.0
65,-1.555475969580214,6.0,6.0,7.0,2.0,7.0,4.0,3.0,1000.0,1000.0
66,-0.32728072699296357,5.0,5.0,8.0,8.0,8.0,2.0,2.0,1000.0,1000.0
67,-0.38784109368483993,19.0,9.0,1.0,6.0,9.0,4.0,1.0,1000.0,1000.0
68,-0.23978822914537926,12.0,6.0,2.0,5.0,2.0,2.0,2.0,1000.0,1000.0
69,-0.3967263817355336,6.0,8.0,2.0,5.0,6.0,3.0,1.0,1000.0,1000.0
70,0.3682669205615492,16.0,8.0,3.0,6.0,5.0,2.0,3.0,1000.0,1000.0
71,-0.22618646254542657,8.0,3.0,9.0,9.0,8.0,2.0,1.0,1000.0,1000.0
72,2.0503274349159946,18.0,3.0,4.0,2.0,9.0,1.0,2.0,1000.0,1000.0
73,-1.0516525797271687,19.0,3.0,5.0,9.0,7.0,4.0,3.0,1000.0,1000.0
74,0.14441688553257234,14.0,4.0,3.0,5.0,6.0,3.0,2.0,1000.0,1000.0
75,-0.5437468580050983,5.0,9.0,8.0,5.0,6.0,2.0,2.0,1000.0,1000.0
76,-0.24221038382060162,12.0,4.0,1.0,4.0,5.0,4.0,1.0,1000.0,1000.0
77,0.7929638948930772,17.0,7.0,3.0,3.0,8.0,2.0,1.0,1000.0,1000.0
78,0.49239492346537517,6.0,9.0,5.0,8.0,8.0,1.0,3.0,1000.0,1000.0
79,0.7700268297118544,11.0,7.0,5.0,2.0,1.0,1.0,2.0,1000.0,1000.0
80,-0.12821189910098943,6.0,2.0,9.0,7.0,2.0,1.0,1.0,1000.0,1000.0
81,-0.2654686026314057,12.0,1.0,6.0,4.0,9.0,4.0,1.0,1000.0,1000.0
82,-0.23964814343465518,10.0,1.0,2.0,7.0,1.0,3.0,1.0,1000.0,1000.0
83,0.5120993743868526,13.0,9.0,7.0,2.0,4.0,4.0,2.0,1000.0,1000.0
84,-0.22745026330948298,14.0,9.0,7.0,9.0,9.0,2.0,1.0,1000.0,1000.0
85,-0.771978118305044,10.0,9.0,7.0,6.0,6.0,3.0,3.0,1000.0,1000.0
86,0.17207152510594467,9.0,5.0,8.0,5.0,4.0,1.0,2.0,1000.0,1000.0
87,0.32785853984656155,7.0,2.0,2.0,4.0,3.0,2.0,2.0,1000.0,1000.0
88,-0.24726849631933567,9.0,6.0,9.0,8.0,3.0,3.0,1.0,1000.0,1000.0
89,0.6855737322811687,7.0,5.0,7.0,3.0,8.0,2.0,2.0,1000.0,1000.0
90,1.6078565878986255,19.0,5.0,7.0,1.0,9.0,3.0,3.0,1000.0,1000.0
91,0.3251174485971267,6.0,6.0,8.0,1.0,2.0,1.0,3.0,1000.0,1000.0
92,-0.07234295754389546,17.0,1.0,1.0,4.0,1.0,2.0,1.0,1000.0,1000.0
93,-1.7330250681838808,6.0,2.0,6.0,4.0,3.0,3.0,3.0,1000.0,1000.0
94,0.5628504887301565,19.0,5.0,6.0,5.0,8.0,2.0,1.0,1000.0,1000.0
95,1.288627835209797,15.0,4.0,9.0,1.0,6.0,2.0,1.0,1000.0,1000.0
96,0.637388996866559,12.0,2.0,5.0,4.0,5.0,1.0,3.0,1000.0,1000.0
97,0.7555740022649354,11.0,6.0,6.0,1.0,5.0,3.0,3.0,1000.0,1000.0
98,0.20612152777269524,17.0,8.0,6.0,6.0,1.0,1.0,2.0,1000.0,1000.0
99,-0.6999609001062708,6.0,6.0,6.0,4.0,7.0,3.0,2.0,1000.0,1000.0
100,-0.18688951323009959,12.0,5.0,1.0,5.0,3.0,2.0,1.0,1000.0,1000.0
101,-0.39311984319578436,14.0,5.0,6.0,2.0,3.0,4.0,1.0,1000.0,1000.0
102,-0.5162332668497226,9.0,9.0,2.0,5.0,8.0,3.0,2.0,1000.0,1000.0
103,-0.10981280210449432,18.0,2.0,2.0,9.0,1.0,2.0,1.0,1000.0,1000.0
104,2.3524582130203515,10.0,5.0,2.0,2.0,9.0,2.0,3.0,1000.0,1000.0
105,0.1781879214083321,11.0,2.0,3.0,2.0,3.0,3.0,2.0,1000.0,1000.0
106,2.336554616641698,17.0,9.0,4.0,1.0,3.0,1.0,2.0,1000.0,1000.0
107,1.6118348877844568,12.0,4.0,2.0,3.0,4.0,2.0,3.0,1000.0,1000.0
108,0.8252679734725791,14.0,7.0,8.0,3.0,9.0,4.0,1.0,1000.0,1000.0
109,0.8099960280807555,12.0,3.0,1.0,1.0,4.0,4.0,2.0,1000.0,1000.0
110,-0.6783605364195194,15.0,8.0,8.0,5.0,2.0,4.0,2.0,1000.0,1000.0
111,-1.8325568671795351,7.0,2.0,1.0,2.0,2.0,4.0,3.0,1000.0,1000.0
112,-0.17109769740290384,6.0,9.0,6.0,7.0,2.0,1.0,1.0,1000.0,1000.0
113,-0.48142953054971804,16.0,4.0,4.0,7.0,9.0,4.0,3.0,1000.0,1000.0
114,-1.9305156257816622,10.0,4.0,3.0,7.0,5.0,3.0,3.0,1000.0,1000.0
115,-0.12460795712566135,7.0,5.0,7.0,8.0,9.0,3.0,1.0,1000.0,1000.0
116,-2.6254692038209795,16.0,8.0,3.0,7.0,1.0,4.0,3.0,1000.0,1000.0
117,0.015540756300479802,5.0,8.0,2.0,9.0,3.0,1.0,2.0,1000.0,1000.0
118,-0.04343794160984687,15.0,3.0,8.0,5.0,4.0,2.0,1.0,1000.0,1000.0
119,-0.26689435758242525,13.0,4.0,7.0,5.0,3.0,4.0,1.0,1000.0,1000.0
120,-0.04422567261839354,15.0,4.0,2.0,5.0,6.0,3.0,2.0,1000.0,1000.0
121,-1.3825586618075743,8.0,3.0,4.0,6.0,2.0,2.0,3.0,1000.0,1000.0
122,2.079683813588567,19.0,8.0,4.0,1.0,9.0,3.0,3.0,1000.0,1000.0
123,0.03348447682574968,17.0,1.0,4.0,5.0,3.0,2.0,2.0,1000.0,1000.0
124,-1.5684563838386276,16.0,6.0,1.0,5.0,1.0,4.0,2.0,1000.0,1000.0
125,-1.7171101569059168,11.0,9.0,7.0,9.0,5.0,4.0,2.0,1000.0,1000.0
126,1.5087552638950223,19.0,3.0,1.0,1.0,4.0,4.0,3.0,1000.0,1000.0
127,-1.1936800630271287,19.0,9.0,9.0,6.0,3.0,4.0,2.0,1000.0,1000.0
128,-0.5661663864486194,17.0,8.0,4.0,8.0,9.0,4.0,2.0,1000.0,1000.0
129,-2.3049567525224144,5.0,9.0,9.0,5.0,5.0,4.0,3.0,1000.0,1000.0
130,-1.2986208607220584,8.0,3.0,6.0,9.0,8.0,4.0,2.0,1000.0,1000.0
131,0.47576184433873075,15.0,4.0,5.0,8.0,7.0,1.0,3.0,1000.0,1000.0
132,-0.13787037027573534,18.0,4.0,8.0,4.0,2.0,3.0,2.0,1000.0,1000.0
133,-0.0973915297804515,12.0,1.0,9.0,5.0,2.0,1.0,2.0,1000.0,1000.0
134,-0.17080322650957933,10.0,5.0,5.0,6.0,6.0,2.0,1.0,1000.0,1000.0
135,-1.0825941016333687,16.0,2.0,7.0,5.0,5.0,4.0,2.0,1000.0,1000.0
136,0.6375672126867185,19.0,3.0,6.0,3.0,3.0,4.0,2.0,1000.0,1000.0
137,-0.17277206077100773,19.0,9.0,3.0,4.0,6.0,4.0,1.0,1000.0,1000.0
138,0.5355540570018402,19.0,2.0,1.0,2.0,2.0,3.0,1.0,1000.0,1000.0
139,1.882358320822877,19.0,6.0,4.0,2.0,6.0,2.0,3.0,1000.0,1000.0
140,-1.3099878221953334,5.0,7.0,1.0,3.0,1.0,2.0,2.0,1000.0,1000.0
141,1.0645254476249502,17.0,7.0,2.0,3.0,7.0,3.0,2.0,1000.0,1000.0
142,0.4412966593731086,15.0,9.0,5.0,3.0,9.0,3.0,1.0,1000.0,1000.0
143,0.1335969996325219,5.0,9.0,7.0,8.0,9.0,1.0,2.0,1000.0,1000.0
144,0.8505660344657351,9.0,8.0,2.0,5.0,7.0,2.0,3.0,1000.0,1000.0
145,-1.0774826031202116,5.0,6.0,9.0,7.0,4.0,4.0,2.0,1000.0,1000.0
